date,barangay,active_cases,disease,rainfall_mm,temperature_c,humidity_pct
2023-01-01,Abuanan,0,None,3.0,31.7,74.6
2023-01-01,Alianza,0,None,3.0,31.7,74.6
2023-01-01,Atipuluan,0,None,3.0,31.7,74.6
2023-01-01,Balingasag,0,None,3.0,31.7,74.6
2023-01-01,Binubuhan,0,None,3.0,31.7,74.6
2023-01-01,Busay,0,None,3.0,31.7,74.6
2023-01-01,Calumangan,0,None,3.0,31.7,74.6
2023-01-01,Caridad,0,None,3.0,31.7,74.6
2023-01-01,Dulao,1,Anthrax,3.0,31.7,74.6
2023-01-01,Ilijan,0,None,3.0,31.7,74.6
2023-01-01,Lag-asan,0,None,3.0,31.7,74.6
2023-01-01,Ma-ao,1,Dengue Fever,3.0,31.7,74.6
2023-01-01,Mailum,0,None,3.0,31.7,74.6
2023-01-01,Malingin,0,None,3.0,31.7,74.6
2023-01-01,Napoles,0,None,3.0,31.7,74.6
2023-01-01,Pacol,0,None,3.0,31.7,74.6
2023-01-01,Poblacion,0,None,3.0,31.7,74.6
2023-01-01,Sagasa,0,None,3.0,31.7,74.6
2023-01-01,Sampinit,0,None,3.0,31.7,74.6
2023-01-01,San Antonio,0,None,3.0,31.7,74.6
2023-01-01,San Jose,0,None,3.0,31.7,74.6
2023-01-01,Santa Cruz,0,None,3.0,31.7,74.6
2023-01-01,Tabunan,0,None,3.0,31.7,74.6
2023-01-01,Taloc,0,None,3.0,31.7,74.6
2023-01-02,Abuanan,0,None,4.74,26.3,72.2
2023-01-02,Alianza,0,None,4.74,26.3,72.2
2023-01-02,Atipuluan,1,Anthrax,4.74,26.3,72.2
2023-01-02,Balingasag,0,None,4.74,26.3,72.2
2023-01-02,Binubuhan,0,None,4.74,26.3,72.2
2023-01-02,Busay,0,None,4.74,26.3,72.2
2023-01-02,Calumangan,0,None,4.74,26.3,72.2
2023-01-02,Caridad,0,None,4.74,26.3,72.2
2023-01-02,Dulao,0,None,4.74,26.3,72.2
2023-01-02,Ilijan,0,None,4.74,26.3,72.2
2023-01-02,Lag-asan,0,None,4.74,26.3,72.2
2023-01-02,Ma-ao,0,None,4.74,26.3,72.2
2023-01-02,Mailum,0,None,4.74,26.3,72.2
2023-01-02,Malingin,0,None,4.74,26.3,72.2
2023-01-02,Napoles,0,None,4.74,26.3,72.2
2023-01-02,Pacol,0,None,4.74,26.3,72.2
2023-01-02,Poblacion,0,None,4.74,26.3,72.2
2023-01-02,Sagasa,0,None,4.74,26.3,72.2
2023-01-02,Sampinit,0,None,4.74,26.3,72.2
2023-01-02,San Antonio,0,None,4.74,26.3,72.2
2023-01-02,San Jose,0,None,4.74,26.3,72.2
2023-01-02,Santa Cruz,0,None,4.74,26.3,72.2
2023-01-02,Tabunan,0,None,4.74,26.3,72.2
2023-01-02,Taloc,0,None,4.74,26.3,72.2
2023-01-03,Abuanan,1,Meningococcal Disease,2.61,29.4,70.4
2023-01-03,Alianza,0,None,2.61,29.4,70.4
2023-01-03,Atipuluan,0,None,2.61,29.4,70.4
2023-01-03,Balingasag,0,None,2.61,29.4,70.4
2023-01-03,Binubuhan,0,None,2.61,29.4,70.4
2023-01-03,Busay,0,None,2.61,29.4,70.4
2023-01-03,Calumangan,0,None,2.61,29.4,70.4
2023-01-03,Caridad,0,None,2.61,29.4,70.4
2023-01-03,Dulao,0,None,2.61,29.4,70.4
2023-01-03,Ilijan,0,None,2.61,29.4,70.4
2023-01-03,Lag-asan,1,Dengue Fever,2.61,29.4,70.4
2023-01-03,Ma-ao,0,None,2.61,29.4,70.4
2023-01-03,Mailum,0,None,2.61,29.4,70.4
2023-01-03,Malingin,0,None,2.61,29.4,70.4
2023-01-03,Napoles,0,None,2.61,29.4,70.4
2023-01-03,Pacol,0,None,2.61,29.4,70.4
2023-01-03,Poblacion,0,None,2.61,29.4,70.4
2023-01-03,Sagasa,0,None,2.61,29.4,70.4
2023-01-03,Sampinit,0,None,2.61,29.4,70.4
2023-01-03,San Antonio,0,None,2.61,29.4,70.4
2023-01-03,San Jose,0,None,2.61,29.4,70.4
2023-01-03,Santa Cruz,0,None,2.61,29.4,70.4
2023-01-03,Tabunan,0,None,2.61,29.4,70.4
2023-01-03,Taloc,0,None,2.61,29.4,70.4
2023-01-04,Abuanan,0,None,2.49,28.0,74.6
2023-01-04,Alianza,0,None,2.49,28.0,74.6
2023-01-04,Atipuluan,0,None,2.49,28.0,74.6
